practice,country,summary,img,audio
Traditional Ainu dance,Japan,"The Ainu are an indigenous people who today live mostly in Hokkaidō in northern Japan. Traditional Ainu dance is performed at ceremonies and banquets, as part of newly organized cultural festivals and privately in daily life; in its various forms, it is closely connected to the lifestyle and religion of the Ainu. The traditional style involves a large circle of dancers, sometimes with onlookers who sing an accompaniment without musical instrumentation. Some dances imitate the calls and movements of animals or insects; others, like the sword and bow dances, are rituals; and still others are improvisational or purely entertainment. Believing that deities can be found in their surroundings, the Ainu frequently use dance to worship and give thanks for nature. Dance also plays a central role in formal ceremonies such as Iyomante, in which participants send the deity embodied in a bear they have eaten back to heaven by mimicking the movements of a living bear. For the Ainu, dance reinforces their connection to the natural and religious world and provides a link to other Arctic cultures in Russia and North America.",N/A,N/A
Traditional firing technology of Longquan celadon,China,"The city of Longquan in the coastal Chinese province of Zhejian is known for its celadon pottery and the traditional firing technology that imparts its distinctive glaze. Compounded from violet-golden clay and a mixture of burnt feldspar, limestone, quartz and plant ash, the glaze is prepared from recipes that have often been handed down for generations by teachers or within families. The glaze is applied to a fired stoneware vessel, which is then fired again in a repeated cycle of six stages of heating and cooling where precise temperatures matter a great deal: either over- or under-firing will spoil the effect. Experienced celadon artists carefully control each stage with a thermometer and by observing the colour of the flame, which reaches temperatures as high as 1310º C. The final product may take either of two styles: ‘elder brother’ celadon has a black finish with a crackle effect, while the ‘younger brother’ variety has a thick, lavender-grey and plum-green finish. With its underlying jade-like green colour, celadon fired by the family-oriented businesses of Longquan is prized as masterwork-quality art that can also serve as household ware. It is a proud symbol of the cultural heritage of the craftspeople, their city and the nation.",N/A,N/A
Traditional handicrafts of making Xuan paper,China,"The unique water quality and mild climate of Jing County in Anhui Province in eastern China are two of the key ingredients in the craft of making Xuan paper that thrives there. Handmade from the tough bark of the Tara Wing-Celtis or Blue Sandalwood tree and rice straw, Xuan paper is known for its strong, smooth surface, its ability to absorb water and moisten ink, and fold repeatedly without breaking. It has been widely used in calligraphy, painting and book printing. The traditional process passed down orally over generations and still followed today proceeds strictly by hand through more than a hundred steps such as steeping, washing, fermenting, bleaching, pulping, sunning and cutting – all of which lasts more than two years. The production of the ‘Paper of Ages’ or ‘King of Papers’ is a major part of the economy in Jing County, where the industry directly or indirectly employs one in nine locals and the craft is taught in local schools. True mastery of the entire complicated process is won only by a lifetime of dedicated work. Xuan paper has become synonymous with the region, where a score of artisans still keep the craft alive.",N/A,N/A
Traditional manufacturing of children’s wooden toys in Hrvatsko Zagorje,Croatia,"Villagers along the pilgrimage route to the Marian shrine of Our Lady of the Snow in Marija Bistrica in Hrvatsko Zagorje in northern Croatia developed a technique for traditional manufacturing of children’s wooden toys that has now been handed down for generations. The men in a family take soft willow, lime, beech and maple wood from the region and dry, hew, cut and carve it using traditional tools; the women then apply ecologically-friendly paint in improvisational floral or geometric patterns, painting ‘from imagination’. The whistles, horses, cars, tiny furniture, spinning dancers, jumping horses and flapping birds produced today are almost identical to those made more than a century ago – though no two toys are precisely the same, thanks to the handcrafted production process. Popular among both locals and tourists, these toys are sold in parish fairs, markets and specialty shops around the world. They have also evolved with the times and, in addition to the traditional shapes such as horses and carts, new ones representing cars, trucks, airplanes and trains have appeared, reflecting the world surrounding modern-day children. Tiny toy instruments, carefully tuned as they are created, still serve as important components in the musical education of rural children.",N/A,N/A
Two-part singing and playing in the Istrian scale,Croatia,"On the Istrian peninsula in western Croatia, several varieties of two-part singing and playing in the Istrian scale are preserved by Croatian, Istro-Romanian and Italian communities. The style is characterized by vigorous, partly nasal singing. It involves a degree of variation and improvisation in both vocal parts but always ends with two performers singing in unison or an octave apart. Typical musical instruments are the sopele shawms, always played in a pair, bagpipes, flutes and the tambura lute. Several local sub-styles have developed their own characteristics. For example, in kanat, performed primarily by the Croatian population, the second voice is often exchanged for or doubled with a small sopele; in the widespread variant known as tarankanje, words are sometimes replaced with characteristic syllables (ta-na-na, ta-ra-ran, etc.) designed to imitate the sound of the flute. This tradition is still a part of everyday life and festive occasions, including wedding ceremonies, community and family gatherings and religious services. Its bearers, about a hundred outstanding singers and players and some ten craftspeople, have acquired their skills and knowledge from their elders. Nowadays they are often associated with organized amateur folklore groups, spread throughout the region.",N/A,N/A
"Whistled language of the island of La Gomera (Canary Islands), the Silbo Gomero",Spain,"The whistled language of La Gomera Island in the Canaries, the Silbo Gomero, replicates the islanders’ habitual language (Castilian Spanish) with whistling. Handed down over centuries from master to pupil, it is the only whistled language in the world that is fully developed and practised by a large community (more than 22,000 inhabitants). The whistled language replaces each vowel or consonant with a whistling sound: two distinct whistles replace the five Spanish vowels, and there are four whistles for consonants. The whistles can be distinguished according to pitch and whether they are interrupted or continuous. With practice, whistlers can convey any message. Some local variations even point to their origin. Taught in schools since 1999, the Silbo Gomero is understood by almost all islanders and practised by the vast majority, particularly the elderly and the young. It is also used during festivities and ceremonies, including religious occasions. To prevent it from disappearing like the other whistled languages of the Canary Islands, it is important to do more for its transmission and promote the Silbo Gomero as intangible cultural heritage cherished by the inhabitants of La Gomera and the Canary Islands as a whole.",N/A,N/A
Xi’an wind and percussion ensemble,China,"Xi’an wind and percussion ensemble, which has been played for more than a millennium in China’s ancient capital of Xi’an, in Shaanxi Province, is a type of music integrating drums and wind instruments, sometimes with a male chorus. The content of the verses is mostly related to local life and religious belief and the music is mainly played on religious occasions such as temple fairs or funerals. The music can be divided into two categories, ‘sitting music’ and ‘walking music’, with the latter also including the singing of the chorus. Marching drum music used to be performed on the emperor’s trips, but has now become the province of farmers and is played only in open fields in the countryside. The drum music band is composed of thirty to fifty members, including peasants, teachers, retired workers, students and others. The music has been transmitted from generation to generation through a strict master-apprentice mechanism. Scores of the music are recorded using an ancient notation system dating from the Tang and Song dynasties (seventh to thirteenth centuries). Approximately three thousand musical pieces are documented and about one hundred fifty volumes of handwritten scores are preserved and still in use.",N/A,N/A
Yeongsanjae,Republic of Korea,"A central element of Korean Buddhist culture, Yeongsanjae is a re-enactment of Buddha’s delivery of the Lotus Sutra on the Vulture Peak in India, through which philosophical and spiritual messages of Buddhism are expressed and people in attendance develop self-discipline. Yeongsanjae begins with a ritual reception for all the saints and spirits of heaven and earth and concludes with a farewell ritual representing manners of the otherworldly realm of Buddha, with singing, ceremonial adornment and varied ritual dances such as the cymbal dance, drum dance and ceremonial robe dance. The other components include a ritual cleansing, a tea ceremony, the dedication of a rice meal to the Buddha and Bodhisattvas, a sermon inviting the audience to the door of truth and a ritual meal for the dead to congratulate them on their entry into heaven. Preserved chiefly by the Taego Order of Korean Buddhism based in Seoul, the Yeongsanjae is held in temples throughout the Republic of Korea to help all beings enter the world of truth by worshipping and admiring the Buddha and his laws and monks. The ceremony serves as an important space for transmission of values and art forms and for meditation, training and enlightenment. ",N/A,N/A
Yueju opera,China,"The Chinese tradition of Yueju opera combines Mandarin operatic traditions and Cantonese dialect. Rooted in the Cantonese-speaking provinces of Guangdong and Guangxi in south-eastern China, Yueju opera is characterized by a combination of string and percussion instruments, with elaborate costumes and face painting. It also incorporates stunts and fights using real weapons and drawing on the Shaolin martial arts, as illustrated by the central Wenwusheng role that demands proficiency in both singing and fighting. It has developed a rich repertoire of stories ranging from historical epics to more realistic descriptions of daily life. An important form of recreation, the opera is also, in some rural communities, combined with ceremonial, religious and sacrificial elements into a spiritual amalgam of art and custom known as Shengongxi. Yueju opera is popular throughout China and provides a cultural bond among Cantonese speakers in the country and abroad. They view its success around the world as a point of pride, regarding the opera as an important means by which foreigners come to understand their culture. Today, the tradition is passed to new artists through both drama schools and apprenticeship programmes.",N/A,N/A
Centre for traditional culture – school museum of Pusol pedagogic project,Spain,"This innovative education project has two overall goals: to promote value-based education by integrating the local cultural and natural heritage within the curriculum, and to contribute to the preservation of Elche’s heritage by means of education, training, direct action and awareness-raising in the educational community. Implemented at the one-teacher rural public school of Pusol (Elche, Spain) in 1968, the project has successfully integrated heritage into formal education. Guided by teachers and external collaborators, children explore, in a play atmosphere, the rich Elche heritage in contact with tradition bearers, and contribute directly to its preservation. The children do fieldwork data collection, museography, and teach one another and visitors about heritage, studying and exploring the heritage by themselves. The project has trained almost 500 schoolchildren and has resulted in a school museum with more than 61,000 inventory entries and 770 oral files, preserving everyday life heritage and promoting the cultural mapping of local heritage resources. Between 1968 and the mid 1980s, the project remained within the boundaries of the rural district of Pusol, where the school was based. But as knowledge of the project’s values and achievements spread, the project’s operational scope grew larger, first involving the remaining rural districts of Elche’s countryside (mid 1980s) and later the city of Elche (1990s). The project is highly esteemed by the local rural community, the general population of Elche, and experts on education and culture for its pioneering democratic, integrative and participatory nature, and can serve as a model demonstrating the feasibility of bottom-up heritage safeguarding.",N/A,N/A
"Education and training in Indonesian Batik intangible cultural heritage for elementary, junior, senior, vocational school and polytechnic students, in collaboration with the Batik Museum in Pekalongan",Indonesia,"Indonesian Batik is a traditional hand-crafted dye-resist textile rich in intangible cultural values, passed down for generations in Java and elsewhere since the early nineteenth century. The batik community noted the younger generation’s interest in batik was waning, and felt the need to increase efforts to transmit batik cultural heritage to guarantee its safeguarding. The main objective of the programme is therefore to increase the awareness and appreciation of the cultural heritage of Indonesian batik, including its history, cultural values and traditional skills, among the younger generation. Law No. 20 of 2003 makes it possible to include batik culture in curricula as ‘local content’ in areas having batik cultural heritage, such as Pekalongan City. The Batik Museum initiated the programme in 2005, in close cooperation with the educational authorities of the city, and it continues to expand to Pekalongan District and neighbouring Batang, Pemalang and Tegal districts. This programme, whose effectiveness has been demonstrated through evaluations, constitutes an effort to (a) safeguard intangible cultural heritage by ensuring its transmission to the next generation, (b) ensure respect for the intangible cultural heritage by giving Indonesian Batik a respectable place as local content within the curricula of various strata of formal education, beginning from elementary, junior, senior and vocational schools up to polytechnic, and (c) raise awareness of the importance of intangible cultural heritage at the local, national and hopefully international level.",N/A,N/A
"Safeguarding intangible cultural heritage of Aymara communities in Bolivia, Chile and Peru","Bolivia (Plurinational State of), Chile and Peru","The proposed sub-regional project aims at developing safeguarding measures to ensure the viability of the oral expressions, music and traditional knowledge (textile art and agricultural technologies) of the Aymara communities of Bolivia (La Paz-Oruro-Potosí), Chile (Tarapacá-Arica-Parinacota-Antofagasta) and Peru (Tacna-Puno-Moquegua). The activities, planned for implementation over the course of a five-year project, are: (i) identifying and inventorying the traditional knowledge and oral traditions of Aymara communities in the selected areas, (ii) strengthening language as a vehicle for transmission of the intangible cultural heritage through formal and non-formal education, (iii) promoting and disseminating Aymara oral and musical expressions and (iv) reinforcing traditional knowledge related to the production of textile arts and traditional agricultural techniques. These four lines of action of the planned project have been established as priorities by the Aymara communities in the different phases of consultation and preparation of the project and they will be implemented with the full involvement of the communities, guided by the 2003 Convention’s principles. The project intends to adopt as its working strategy the creation of a subregional and international network comprising individuals, communities, groups, cultural managers, specialists, indigenous organizations, research centres, NGOs and Governments, to promote the exchange of experience, information and training in order to strengthen capacities in the region.",N/A,N/A
Ahellil of Gourara,Algeria,"Performed during collective ceremonies, the Ahellil is a poetic and musical genre emblematic of the Zenete population of Gourara. This region in southwest Algeria includes some one hundred oases populated by over 50,000 inhabitants of Berber, Arab and Sudanese origin. The Ahellil, which is specific to the Berber-speaking part of Gourara, is regularly rendered at religious festivities and pilgrimages as well as secular celebrations, such as weddings and community events. The Ahellil is closely linked to the Zenete way of life and its oasis agriculture, symbolizing the cohesion of the community living in a harsh environment and, at the same time, transmitting the values and the history of the Zenete population in a language that is at risk of disappearing. ",N/A,N/A
Al-Sirah Al-Hilaliyyah epic,Egypt,"This oral poem, also known as the Hilali epic, recounts the saga of the Bani Hilal Bedouin tribe and its migration from the Arabian Peninsula to North Africa in the tenth century. This tribe held sway over a vast territory in central North Africa for more than a century before being annihilated by Moroccan rivals. As one of the major epic poems that developed within the Arabic folk tradition, the Hilali is the only epic still performed in its integral musical form. Moreover, once widespread throughout the Middle East, it has disappeared from everywhere except Egypt. ",N/A,N/A
Albanian folk iso-polyphony,Albania,"Traditional Albanian polyphonic music can be divided into two major stylistic groups as performed by the Ghegs of northern Albania and the Tosks and Labs living in the southern part of the country. The term iso is related to the ison of Byzantine church music and refers to the drone accompanying polyphonic singing. The drone is performed in two ways: among the Tosks, it is always continuous and sung on the syllable ’e’, using staggered breathing, while among the Labs, the drone is sometimes sung as a rhythmic tone, performed to the text of the song. Rendered mainly by male singers, the music traditionally accompanies a wide range of social events, such as weddings, funerals, harvest feasts, religious celebrations and festivals such as the well-known Albanian folk festival in Gjirokastra.",N/A,N/A
Andean cosmovision of the Kallawaya,Bolivia (Plurinational State of),"The Kallawaya ethnic group, based in the mountainous Bautista Saavedra region north of La Paz, traces its roots to the pre-Inca period. Like many aspects of Andean culture, the Kallawaya’s practices and values have evolved through the fusion of native and Christian religions.",N/A,N/A
"Art of Akyns, Kyrgyz epic tellers",Kyrgyzstan,"The predominant form of cultural expression among the Kyrgyz nomads is the narration of epics. The art of the Akyns, the Kyrgyz epic tellers, combines singing, improvisation and musical composition. The epics are performed at religious and private festivities, seasonal ceremonies and national holidays and have survived over the centuries by oral transmission. ",N/A,N/A
"Arts of the Meddah, public storytellers",Turkey,"Meddahlik was a Turkish theatre form performed by a single storyteller called a meddah and practised throughout Turkey and Turkishspeaking countries. Through the ages, similar narrative genres have flourished due to interaction among the peoples of Asia, the Caucasus and the Middle East within this wide geographical area.",N/A,N/A
Azerbaijani Mugham,Azerbaijan,"The Azerbaijani Mugham is a traditional musical form, characterized by a large degree of improvisation. The Mugham, though a classical and academic art, draws upon popular bard melodies, rhythms and performance techniques and is performed in many venues throughout the country. ",N/A,N/A
Baltic song and dance celebrations,"Estonia, Latvia and Lithuania","Both a repository and a showcase for the region’s tradition of performing folk art, this cultural expression culminates in large-scale festivals every fifth year in Estonia and Latvia and every fourth year in Lithuania.These grand events, held over several days, assemble as many as 40,000 singers and dancers. For the most part, the participants belong to amateur choirs and dance groups.Their repertories reflect the wide range of musical traditions in the Baltic States, from the most ancient folk songs to contemporary compositions. Directed by professional choir conductors, bandleaders and dance instructors, many singers and dancers practise throughout the year in community centres and local cultural institutions. ",N/A,N/A
Barkcloth making in Uganda,Uganda,"Barkcloth making is an ancient craft of the Baganda people who live in the Buganda kingdom in southern Uganda. Traditionally, craftsmen of the Ngonge clan, headed by a kaboggoza, the hereditary chief craftsman have been manufacturing bark cloth for the Baganda royal family and the rest of the community. Its preparation involves one of humankind’s oldest savoir-faire, a prehistoric technique that predates the invention of weaving. ",N/A,N/A
Baul songs,Bangladesh,"The Bauls are mystic minstrels living in rural Bangladesh and West Bengal, India. The Baul movement, at its peak in the nineteenth and early twentieth centuries, has now regained popularity among the rural population of Bangladesh. Their music and way of life have influenced a large segment of Bengali culture, and particularly the compositions of Nobel Prize laureate Rabindranath Tagore. ",N/A,N/A
"Bistritsa Babi, archaic polyphony, dances and rituals from the Shoplouk region",Bulgaria,"The traditional dances and polyphonic singing found in the Shoplouk region of Bulgaria are still performed by a group of elderly women, the Bistritsa Babi. This tradition includes diaphony, or what is known as shoppe polyphony, ancient forms of the horo chain dance and the ritual practice of lazarouvane, an initiation ceremony for young women. ",N/A,N/A
Căluş ritual,Romania,"Performed in the Olt region of southern Romania, the Căluş ritual dance also formed part of the cultural heritage of the Vlachs of Bulgaria and Serbia. Although the oldest documented music used in this dance dates from the seventeenth century, the ritual probably derived from ancient purification and fertility rites using the symbol of the horse, which was worshipped as an embodiment of the sun. The ritual’s name derives from the Căluş, the wooden part of the horse’s bridle. The Căluş ritual features a series of games, skits, songs and dances, and was enacted by all-male Căluşari dancers to the accompaniment of two violins and an accordion. Young men used to be initiated into the ritual by a vataf (master) who had inherited the knowledge of descântece (magic charms) and the dance steps from his predecessor. Groups of Căluşari dancers, sporting colourful hats, embroidered shirts and trousers adorned with small jingling bells, perform complex dances, which combine stamping, clicking of the heels, leaping and swinging of the legs.",N/A,N/A
"Canto a tenore, Sardinian pastoral songs",Italy,"Canto a tenore has developed within the pastoral culture of Sardinia. It represents a form of polyphonic singing performed by a group of four men using four different voices called bassu, contra, boche and mesu boche. One of its characteristics is the deep and guttural timbre of the bassu and contra voices. It is performed standing in a close circle. The solo singers chants a piece of prose or a poem while the other voices form an accompanying chorus. Most practitioners live in the region of Barbagia and other parts of central Sardinia. Their art of singing is very much embedded in the daily life of local communities. Often it is performed spontaneously in local bars called su zilleri, but also at more formal occasions, such as weddings, sheepshearings, religious festivities or the Barbaricino carnival. ",N/A,N/A
Carnival of Barranquilla,Colombia,"Every year during the four days before Lent, the Carnival de Barranquilla offers a repertory of dances and musical expressions originating from different Colombian sub-cultures. Because of its geographical location situated on the Caribbean coast and the commercial development during the colonial period, the city of Barranquilla became one of the country’s busiest trading centres and a place where European, African, and indigenous peoples and cultures converged. ",N/A,N/A
Carnival of Binche,Belgium,"The town of Binche is situated south of Brussels in Belgium’s Hainaut province. Each year, during the three days preceding Lent, it is host to carnival festivities that mobilize the historic centre and attract throngs of foreign visitors. With roots dating back to the Middle Ages, Binche’s famed celebration ranks as one of Europe’s oldest surviving street carnivals. ",N/A,N/A
Carnival of Oruro,Bolivia (Plurinational State of),"The town of Oruro, situated at an altitude of 3,700 metres in the mountains of western Bolivia and once a pre-Columbian ceremonial site, was an important mining area in the nineteenth and twentieth centuries. Resettled by the Spanish in 1606, it continued to be a sacred site for the Uru people, who would often travel long distances to perform their rituals, especially for the principal Ito festival. The Spanish banned these ceremonies in the seventeenth century, but they continued under the guise of Christian liturgy: the Andean gods were concealed behind Christian icons and the Andean divinities became the Saints. The Ito festival was transformed into a Christian ritual, celebrated on Candlemas (2 February). The traditional llama llama or diablada in worship of the Uru god Tiw became the main dance at the Carnival of Oruro. ",N/A,N/A
Chopi Timbila,Mozambique,"The Chopi communities live mainly in the southern part of Inhambane province in southern Mozambique and are famous for their orchestra music. Their orchestras consist of five to thirty wooden xylophones, called timbila, of varying sizes and ranges of pitch. The timbila are finely manufactured and tuned wooden instruments made from the highly resonant wood of the slow-growing mwenje (sneezewort) tree. Under each wooden slat, a resonator made out of calabashes is fastened, tightly sealed with beeswax, and tempered with the oil of the nkuso fruit, giving the timbila their rich nasal sound and characteristic vibrations. The orchestras are composed of timbila masters and apprentices of all age groups, with children playing next to their grandfathers. ",N/A,N/A
Cocolo dance drama tradition,Dominican Republic,"The Cocolo dancing drama tradition developed among descendants of British Caribbean slaves who had come to the Dominican Republic in the mid-nineteenth century to work in the sugar fields. This linguistically and culturally distinct community set up their own churches, schools, benevolent societies and mutual assistance lodges. Their most distinctive expressions, however, were annual dancing drama performances. Originally pejorative, the term “Cocolo”, which refers to the migrants working on the British sugar plantation of the island, is now used proudly. ",N/A,N/A
Cross-crafting and its symbolism,Lithuania,"Cross-crafting refers to a widespread tradition of making crosses and altars, as well as the consecration of these crosses and the rituals associated with them. The carved oak crosses are linked to Catholic ceremonies and harvest celebrations. Once the cross is consecrated by a priest, it acquires an inalienable sacred significance. They became the symbol of national and religious identity with its incorporation into the orthodox Russian Empire in the nineteenth century. Their symbolic role was reinforced under the Soviet regime, despite the fact that the crosses were officially banned. ",N/A,N/A
Cultural space and oral culture of the Semeiskie,Russian Federation ◈,"The Semeiskie communities are formed by a group of so-called “Old Believers”, a confessional community originating from the time of the Instigation of the Russian Orthodox Church in the seventeenth century.Their history is marked by repression and exile. During the reign of Catherine the Great, believers in the “old system” from various regions of Russia had to move to the Transbaikal region in Siberia, where they still live today. In this remote area, they have preserved elements of their respective culture, forming a distinct group identity. ",N/A,N/A
Cultural space of Boysun District,Uzbekistan,"The Boysun District located in south-eastern Uzbekistan on the route from Asia Minor to India, is one of the oldest inhabited areas of Central Asia. With the diminishing importance of the Silk Road and the political changes in Central Asia, the region became quite isolated, which favoured the preservation of ancient traditions that show traces of several religions, including shamanistic beliefs, Zoroastrianism, Buddhism and Islam. Today the district is home to about 82,000 inhabitants. ",N/A,N/A
Cultural space of Jemaa el-Fna Square,Morocco,"The Jemaa el-Fna Square is one of the main cultural spaces in Marrakesh and has become one of the symbols of the city since its foundation in the eleventh century. It represents a unique concentration of popular Moroccan cultural traditions performed through musical, religious and artistic expressions. ",N/A,N/A
Cultural space of Palenque de San Basilio,Colombia,"The village of Palenque de San Basilio, with a population of about 3,500 inhabitants, is located in the foothills of the Montes de María, southeast of the regional capital, Cartagena. Palenque de San Basilio was one of the walled communities called palenques, which were founded by escaped slaves as a refuge in the seventeenth century. Of the many palenques that existed in former times, only San Basilio has survived until the present day. It developed into a unique cultural space. ",N/A,N/A
Cultural space of Sosso-Bala,Guinea,"The sacred balafon instrument, known as the Sosso- Bala, has been perceived as the symbol of the freedom and cohesion of the Mandingue community, which is spread across a territory that once belonged to the Empire of Mali. Originally owned and played by King Sumaoro Kanté, who succeeded to the Sosso throne in the early thirteenth century, the balafon has transmitted epic poems down through the centuries, principally the Sunjata epic that comprises hymns to the glory of the builder of the Mali Empire. ",N/A,N/A
Cultural space of the Bedu in Petra and Wadi Rum,Jordan,"The Bedu are settled and nomadic communities living in the southern part of Jordan, particularly near Petra and Wadi Rum, within a region of semi-arid highlands and deserts. These conditions have allowed for the development and existence in complementary relationship of both types of communities. ",N/A,N/A
Cultural space of the Brotherhood of the Holy Spirit of the Congos of Villa Mella,Dominican Republic,"The Brotherhood of the Holy Spirit of the Congos of Villa Mella is distinguished in the fields of music, dance and popular festivities. The Brotherhood musicians play instruments called congos. These congos, the origin of which is attributed to the Holy Spirit, are hand-drums. The Brotherhood, which is nowadays open to all without distinction of sex or origin, was founded in the sixteenth century by African slaves and people of mixed origin. For historical reasons, the Brotherhood is an important part of the cultural identity of its members and of the region as a whole. ",N/A,N/A
Cultural space of the Yaaral and Degal,Mali,"The cultural space of the Yaaral and the Degal encompasses the vast pastoral lands of the Peul of the inner Niger Delta. The Yaaral and the Degal festivities mark the crossing of the river at the time of the transhumance. Twice a year, herds of cattle cross the arid land of the Sahel and the flood plains of the inner Niger River. The festivities always take place on a Saturday, an auspicious day in popular Peul belief, and their exact date is determined according to the state of the pasture and the river level. ",N/A,N/A
Darangen epic of the Maranao people of Lake Lanao,Philippines,"The Darangen is an ancient epic song that encompasses a wealth of knowledge of the Maranao people who live in the Lake Lanao region of Mindanao. This southernmost island of the Philippine archipelago is the traditional homeland of the Maranao, one of the country’s three main Muslim groups.",N/A,N/A
Duduk and its music,Armenia,"The duduk, the Armenian oboe, is a double-reed wind instrument characterized by a warm, soft, slightly nasal timbre. It belongs to the category of aerophones, which also includes the balaban played in Azerbaijan and Iran, the duduki common in Georgia and the ney in Turkey.The soft wood of the apricot tree is the ideal material for the body of the instrument. The reed, called ghamish or yegheg, is a local plant growing alongside the Arax River.",N/A,N/A
El Güegüense,Nicaragua,"A forceful expression of protest against colonial rule, El Güegüense is a satirical drama well known throughout Nicaragua. It is performed during the feast of San Sebastián, patron saint of the city of Diriamba in Nicaragua’s Carazo province. El Güegüense, a synthesis of Spanish and indigenous cultures combining theatre, dance and music, is considered one of Latin America’s most distinctive colonial-era expressions. ",N/A,N/A
Fujara and its music,Slovakia,"The Fujara, an extremely long flute with three finger holes traditionally played by Slovak shepherds, is regarded as an integral part of the traditional culture of Central Slovakia. It is not just a musical instrument, but also an artefact of great artistic value due to its highly elaborate, individual ornamentation. ",N/A,N/A
Gangneung Danoje festival,Republic of Korea,"The annual Gangneung Danoje Festival takes place in the town of Gangneung and its surroundings, situated east of the Taebaek Mountain Range on the Korean peninsula.The festival includes a shamanistic ritual on the Daegwallyeong Ridge, which pays tribute to the mountain deity and male and female tutelary deities. It encompasses traditional music and Odokddegi folk songs, the Gwanno mask drama, oral narrative poetry, and various popular pastimes. The Nanjang market, Korea’s largest outdoor marketplace, is today a major element of the festival, where local products and handicrafts are sold and contests, games and circus performances take place. ",N/A,N/A
"Gbofe of Afounkaha, the music of the transverse trumps of the Tagbana community",Côte d'Ivoire,"The Gbofe is mainly performed in the village of Afounkaha in the Tagbana community. The term Gbofe is used both for the transverse horns and for the performance as a whole, which encompasses music, song and dance. The Gbofe horns are made of roots covered by cowhide. Six of these horns are used together, ranging in length from 50 to 70 centimetres. They emit a range of sounds “reproducing” the words of the Tagbana language. These words are then “translated“ by female choirs. The music of the horns and the singing are accompanied by drummers who beat time and give the Gbofe its structure. The Gbofe is played at rituals and traditional ceremonies, and the messages conveyed vary according to the circumstances: praise, love, satire, mourning, moral or educational messages. The Gbofe played an important role by conferring respect towards the holders of the tradition, and by conveying a sense of identity on the communities. The various Gbofe performers follow an apprenticeship. While the know-how is most often passed down from father to son, young talents can also join in the training sessions. ",N/A,N/A
Georgian polyphonic singing,Georgia,"Popular singing has a highly valued place in Georgian culture. Polyphonic singing, in the Georgian language, is a secular tradition in a country whose language and culture have often been oppressed by invaders. There are three types of polyphony in Georgia: complex polyphony, which is common in Svaneti; polyphonic dialogue over a bass background, prevalent in the Kakheti region in Eastern Georgia; and contrasted polyphony with three partially improvised sung parts, characteristic of western Georgia. The Chakrulo song, which is sung at ceremonies and festivals and belongs to the first category, is distinguished by its use of metaphor and its yodel, the krimanchuli and a “cockerel’s crow”, performed by a male falsetto singer. Some of these songs are linked to the cult of the grapevine and many date back to the eighth century. The songs traditionally pervaded all areas of everyday life, ranging from work in the fields (the Naduri, which incorporates the sounds of physical effort into the music) to songs to curing of illnesses and to Christmas Carols (Alilo). Byzantine liturgical hymns also incorporated the Georgian polyphonic tradition to such an extent that they became a significant expression of it. ",N/A,N/A
Gule Wamkulu,"Malawi, Mozambique and Zambia","Gule Wamkulu was a secret cult, involving a ritual dance practiced among the Chewa in Malawi, Zambia, and Mozambique. It was performed by members of the Nyau brotherhood, a secret society of initiated men.Within the Chewa’s traditional matrilineal society, where married men played a rather marginal role, the Nyau offered a means to establish a counterweight and solidarity among men of various villages. Nyau members still are responsible for the initiation of young men into adulthood, and for the performance of the Gule Wamkulu at the end of the initiation procedure, celebrating the young men’s integration into adult society. ",N/A,N/A
Guqin and its music,China,"The Chinese zither, called guqin, has existed for over 3,000 years and represents China’s foremost solo musical instrument tradition. Described in early literary sources and corroborated by archaeological finds, this ancient instrument is inseparable from Chinese intellectual history. Guqin playing developed as an elite art form, practised by noblemen and scholars in intimate settings, and was therefore never intended for public performance. Furthermore, the guqin was one of the four arts – along with calligraphy, painting and an ancient form of chess – that Chinese scholars were expected to master. According to tradition, twenty years of training were required to attain proficiency. ",N/A,N/A
Hudhud chants of the Ifugao,Philippines,"The Hudhud consists of narrative chants traditionally performed by the Ifugao community, which is well known for its rice terraces extending over the highlands of the northern island of the Philippine archipelago. It is practised during the rice sowing season, at harvest time and at funeral wakes and rituals. Thought to have originated before the seventh century, the Hudhud comprises more than 200 chants, each divided into 40 episodes. A complete recitation may last several days. ",N/A,N/A
Ifa divination system,Nigeria,"The Ifa divination system, which makes use of an extensive corpus of texts and mathematical formulas, is practiced among Yoruba communities and by the African diaspora in the Americas and the Caribbean. The word Ifa refers to the mystical figure Ifa or Orunmila, regarded by the Yoruba as the deity of wisdom and intellectual development. ",N/A,N/A
Indigenous festivity dedicated to the dead,Mexico,"As practised by the indigenous communities of Mexico, el Día de los Muertos (Day of the Dead) commemorates the transitory return to Earth of deceased relatives and loved ones. The festivities take place each year at the end of October to the beginning of November. This period also marks the completion of the annual cycle of cultivation of maize, the country’s predominant food crop. ",N/A,N/A
Indonesian Kris,Indonesia,"The kris or keris is a distinctive, asymmetrical dagger from Indonesia. Both weapon and spiritual object, the kris is considered to possess magical powers. The earliest known kris go back to the tenth century and most probably spread from the island of Java throughout South-East Asia. ",N/A,N/A
Iraqi Maqam,Iraq,"Widely recognized as Iraq’s predominant classical music tradition, the Maqam encompasses a vast repertory of songs, accompanied by traditional instruments. Moreover, this popular genre provides a wealth of information on the musical history of the region and the Arab influences that have held sway over the centuries. ",N/A,N/A
