Name,Precaution,valid,pages,touristvisa,vax,centry,cexit,code,Region,Climate,pop,Languages,Other languages,urban,Links
Russian Federation,Level 2: Exercise Increased Caution,Required six months beyond intended stay,2 pages per stamp,Yes,None,"$10,000 or more must be declared","You may export up to $3,000 (or equivalent) without declaring it",rs,Asia,ranges from steppes in the south through humid continental in much of European Russia; subarctic in Siberia to tundra climate in the polar north; winters vary from cool along Black Sea coast to frigid in Siberia; summers vary from warm in the steppes to cool along Arctic coast,142122776,"Russian (official) 85.7%, Tatar 3.2%, Chechen 1%, other 10.1%
        (2010 est.)",note: data represent native language spoken,"12.41 million MOSCOW (capital), 5.383 million Saint Petersburg, 1.636 million Novosibirsk, 1.482 million Yekaterinburg, 1.264 million Nizhniy Novgorod, 1.164 million Samara",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/RS-flag.gif
Rwanda,Level 1: Exercise Normal Precautions,6 months,1 page,Yes,Yellow Fever,None,None,rw,Africa,"temperate; two rainy seasons (February to April, November to January); mild in mountains with frost and snow possible",12187400,"Kinyarwanda (official, universal Bantu vernacular) 93.2%, French (official) <.1, English (official) <.1, Swahili/Kiswahili (official, used in commercial centers) <.1, more than one language, other 6.3%, unspecified 0.3%
        (2002 est.)",,1.058 million KIGALI (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/RW-flag.gif
Saint Kitts and Nevis,Level 1: Exercise Normal Precautions,Must have six months validity at entry,1 page required for entry stamp,Not required for stays under 90 days,None,None,None,sc,Central America and the Caribbean,"tropical, tempered by constant sea breezes; little seasonal temperature variation; rainy season (May to November)",53094,English (official),,"14,000 BASSETERRE (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/SC-flag.gif
Saint Lucia,Level 1: Exercise Normal Precautions,Must have six months validity at entry,1 page required for entry stamp,"No, but see entry-exit requirements below",None,None,None,st,Central America and the Caribbean,"tropical, moderated by northeast trade winds; dry season January to April, rainy season May to August",165510,"English  (official), French patois",,"22,000 CASTRIES (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/ST-flag.gif
Saint Vincent and the Grenadines,Level 1: Exercise Normal Precautions,Must be valid at time of entry,1 page required for entry stamp,None,None,None,None,vc,Central America and the Caribbean,tropical; little seasonal temperature variation; rainy season (May to November),101844,"English, Vincentian Creole English, French patois",,"27,000 KINGSTOWN (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/VC-flag.gif
Samoa,Level 1: Exercise Normal Precautions,Must be valid at the time of entry,One page requirement for entry stamp,Not required for stays under 90 days,None,None,None,ws,Oceania,"tropical; rainy season (November to April), dry season (May to October)",201316,"Samoan (Polynesian) (official) 91.1%, Somoan/English 6.7%, English (official) 0.5%, other 0.2%, unspecified 1.6%
        (2006 est.)",,"36,000 APIA (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/WS-flag.gif
Sao Tome and Principe,Level 1: Exercise Normal Precautions,Six months,One page per stamp,"Yes, for stays over 15 days",Yellow Fever,None,"Report required when exiting with more than 10,000 Euros (see below)",tp,Africa,"tropical; hot, humid; one rainy season (October to May)",204454,"Portuguese 98.4% (official), Forro 36.2%, Cabo Verdian 8.5%, French 6.8%, Angolar 6.6%, English 4.9%, Lunguie 1%, other (including sign language) 2.4%
        (2012 est.)",note: shares sum to more than 100% because some respondents gave more than one answer on the census,"80,000 SAO TOME (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/TP-flag.gif
Saudi Arabia,Level 2: Exercise Increased Caution,,One page required for entry stamp.,Yes,Required for certain visa classes,"More than 16,000 USD must be declared. Customs details are here.","More than 16,000 USD must be declared. Customs details are here.",sa,Middle East,"harsh, dry desert with great temperature extremes",33091113,Arabic (official),,"6.907 million RIYADH (capital), 4.433 million Jeddah, 1.967 million Mecca, 1.43 million Medina, 1.197 million Ad Dammam",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/SA-flag.gif
Senegal,Level 2: Exercise Increased Caution,Valid at time of entry,1 page per stamp,Obtainable upon arrival,Yellow fever,None,None,sg,Africa,"tropical; hot, humid; rainy season (May to November) has strong southeast winds; dry season (December to April) dominated by hot, dry, harmattan wind",15020945,"French  (official), Wolof, Pular, Jola, Mandinka, Serer, Soninke",,2.978 million DAKAR (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/SG-flag.gif
Serbia,Level 2: Exercise Increased Caution,Must be valid at time of entry,One page required for entry stamp,Not required for stays under 90 days,None,"None, if under 10,000 euros","None, if under 10,000 euros",ri,Europe,"in the north, continental climate (cold winters and hot, humid summers with well-distributed rainfall); in other parts, continental and Mediterranean climate (relatively cold winters with heavy snowfall and hot, dry summers and autumns)",7078110,"Serbian (official) 88.1%, Hungarian 3.4%, Bosnian 1.9%, Romani 1.4%, other 3.4%, undeclared or unknown 1.8%
        (2011 est.)","note: Serbian, Hungarian, Slovak, Romanian, Croatian, and Ruthenian (Rusyn) are official in the Autonomous Province of Vojvodina; most ethnic Albanians boycotted the 2011 census",1.389 million BELGRADE (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/RI-flag.gif
Seychelles,Level 1: Exercise Normal Precautions,Duration of stay,1 blank page required,"No, visitor permits granted upon arrival with return ticket","Yellow fever, if traveling from a yellow fever endemic country","Amounts above U.S. $10,000","Amounts above U.S. $10,000",se,Africa,tropical marine; humid; cooler season during southeast monsoon (late May to September); warmer season during northwest monsoon (March to May),94633,"Seychellois Creole (official) 89.1%, English (official) 5.1%, French (official) 0.7%, other 3.8%, unspecified 1.4%
        (2010 est.)",,"28,000 VICTORIA (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/SE-flag.gif
Sierra Leone,Level 2: Exercise Increased Caution,Six months,One page per stamp,Yes,Yellow Fever,"$10,000 ",None,sl,Africa,"tropical; hot, humid; summer rainy season (May to December); winter dry season (December to April)",6312212,"English  (official, regular use limited to literate minority), Mende  (principal vernacular in the south), Temne  (principal vernacular in the north), Krio  (English-based Creole, spoken by the descendants of freed Jamaican slaves who were settled in the Freetown area, a lingua franca and a first language for 10% of the population but understood by 95%)",,1.136 million FREETOWN (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/SL-flag.gif
Singapore,Level 1: Exercise Normal Precautions,Six months,Two page requirement for entry stamp,Not required for stays under 90 days,Yellow fever for travelers from certain countries,"20,000 Singapore Dollars","20,000 Singapore Dollars",sn,Southeast Asia,"tropical; hot, humid, rainy; two distinct monsoon seasons - northeastern monsoon (December to March) and southwestern monsoon (June to September); inter-monsoon - frequent afternoon and early evening thunderstorms",5995991,"English (official) 36.9%, Mandarin (official) 34.9%, other Chinese dialects (includes Hokkien, Cantonese, Teochew) 12.2%, Malay (official) 10.7%, Tamil (official) 3.3%, other 2%
        (2015 est.)",note: data represent language most frequently spoken at home,5.792 million SINGAPORE (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/SN-flag.gif
Sint Maarten,Level 1: Exercise Normal Precautions,Must be valid for duration of stay.,One page required for entry stamp.,None.,Only if arriving from a country with yellow fever risk.,"Amounts exceeding USD 11,000 (or equivalent) must be declared.","Amounts exceeding USD 11,000 (or equivalent) must be declared.",nn,Central America and the Caribbean,"tropical marine climate, ameliorated by northeast trade winds, results in moderate temperatures; average rainfall of 150 cm/year; hurricane season stretches from July to November",42677,"English (official) 67.5%, Spanish 12.9%, Creole 8.2%, Dutch (official) 4.2%, Papiamento (a Spanish-Portuguese-Dutch-English dialect) 2.2%, French 1.5%, other 3.5%
        (2001 census)",,"1327 PHILIPSBURG (capital)
        (2011)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/NN-flag.gif
Slovakia,Level 1: Exercise Normal Precautions,Six months,One page required for entry stamp,Not required for stays less than 90 days within a six-month period,None,"10,000 euros","10,000 euros",lo,Europe,"temperate; cool summers; cold, cloudy, humid winters",5445040,"Slovak (official) 78.6%, Hungarian 9.4%, Roma 2.3%, Ruthenian 1%, other or unspecified 8.8%
        (2011 est.)",,"430,000 BRATISLAVA (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/LO-flag.gif
Slovenia,Level 1: Exercise Normal Precautions,Six months recommended; at least three months beyond your planned departure from the Schengen area,One page required for entry stamp,Not required for stays under 90 days within each 180-day period,None,"10,000 euros","10,000 euros",si,Europe,"Mediterranean climate on the coast, continental climate with mild to hot summers and cold winters in the plateaus and valleys to the east",2102126,"Slovenian (official) 91.1%, Serbo-Croatian 4.5%, other or unspecified 4.4%, Italian (official, only in municipalities where Italian national communities reside), Hungarian (official, only in municipalities where Hungarian national communities reside)
        (2002 census)",,"286,000 LJUBLJANA (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/SI-flag.gif
Solomon Islands,Level 1: Exercise Normal Precautions,Must be valid at time of entry,One page per stamp,No,None required,"Currency equivalent to 50,000 SBD or more must declared.","Currency equivalent to 50,000 SBD or more must declared.",bp,Oceania,tropical monsoon; few temperature and weather extremes,660121,"Melanesian pidgin  (in much of the country is lingua franca), English (official but spoken by only 1%-2% of the population), 120 indigenous languages",,"82,000 HONIARA (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/BP-flag.gif
Somalia,Level 4: Do Not Travel,Duration of stay,1 page,Yes,Yellow Fever vaccination is not required but most countries that fly in and out of Somalia require proof of vaccination,None,None,so,Africa,"principally desert; northeast monsoon (December to February), moderate temperatures in north and hot in south; southwest monsoon (May to October), torrid in the north and hot in the south, irregular rainfall, hot and humid periods (tangambili) between mon",11259029,"Somali  (official, according to the 2012 Transitional Federal Charter), Arabic  (official, according to the 2012 Transitional Federal Charter), Italian, English",,2.082 million MOGADISHU (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/SO-flag.gif
South Africa,Level 2: Exercise Increased Caution,30 days,2 consecutive empty visa pages per entry,"No, if visiting 90 days or less",Yellow fever at least 10 days before arrival is required for travelers originating from or transiting through WHO-designated yellow fever countries,"ZAR 25,000; Foreign currency unlimited if declared; No Kruger coins.","ZAR 25,000; Foreign currency unlimited if amount was declared on entry; Up to 15 Kruger coins if proof purchased with foreign currency",sf,Africa,"mostly semiarid; subtropical along east coast; sunny days, cool nights",55380210,"isiZulu (official) 24.7%, isiXhosa (official) 15.6%, Afrikaans (official) 12.1%, Sepedi (official) 9.8%, Setswana (official) 8.9%, English (official) 8.4%, Sesotho (official) 8%, Xitsonga (official) 4%, siSwati (official) 2.6%, Tshivenda (official) 2.5%, isiNdebele (official) 1.6%, other (includes Khoi, Nama, and San languages) 1.9%
        (2017 est.)",note: data represent language spoken most often at home,"9.227 million Johannesburg (includes Ekurhuleni), 4.43 million Cape Town (legislative capital), 3.134 million Durban, 2.378 million PRETORIA (capital), 1.231 million Port Elizabeth, 765,000 Vereeniging",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/SF-flag.gif
South Korea,Level 1: Exercise Normal Precautions,Must be valid at time of entry,One page per stamp,None required for stays under 90 days or less,None,None,None,ks,Asia,"temperate, with rainfall heavier in summer than winter; cold winters",51418097,"Korean, English  (widely taught in elementary, junior high, and high school)",,"9.963 million SEOUL (capital), 3.467 million Busan, 2.763 million Incheon, 2.221 million Daegu (Taegu), 1.558 million Daejon (Taejon), 1.518 million Gwangju (Kwangju)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/KS-flag.gif
South Sudan,Level 4: Do Not Travel,6 months,2 pages,"Yes, obtain in advance.",Yellow fever,None,None,od,Africa,hot with seasonal rainfall influenced by the annual shift of the Inter-Tropical Convergence Zone; rainfall heaviest in upland areas of the south and diminishes to the north,10204581,"English  (official), Arabic  (includes Juba and Sudanese variants), regional languages include Dinka, Nuer, Bari, Zande, Shilluk",,"369,000 JUBA (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/OD-flag.gif
Spain,Level 2: Exercise Increased Caution,"6 months recommended, 3 months beyond your date of departure is required",1 page per stamp,Not required for stays less than 90 days,None,None,None,sp,Europe,"temperate; clear, hot summers in interior, more moderate and cloudy along coast; cloudy, cold winters in interior, partly cloudy and cool along coast",49331076,"Castilian Spanish (official nationwide) 74%, Catalan (official in Catalonia, the Balearic Islands, and the Valencian Community (where it is known as Valencian)) 17%, Galician (official in Galicia) 7%, Basque (official in the Basque Country and in the Basque-speaking area of Navarre) 2%, Aranese (official in the northwest corner of Catalonia (Vall d'Aran) along with Catalan, <5,000 speakers)","note: Aragonese, Aranese Asturian, Basque, Calo, Catalan, Galician, and Valencian are recognized as regional languages under the European Charter for Regional or Minority Languages","6.497 million MADRID (capital), 5.494 million Barcelona, 830,000 Valencia",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/SP-flag.gif
Sri Lanka,Level 1: Exercise Normal Precautions,Must be valid for six months from expected date of departure from Sri Lanka.,One page required for entry stamp.,Yes,Required for yellow fever if arriving from an infected area.,"Foreign currency over USD 15,000 must be declared.","If exiting with foreign currency over USD 5,000, the full amount brought in or acquired in Sri Lanka must be declared.",ce,Asia,tropical monsoon; northeast monsoon (December to March); southwest monsoon (June to October),22576592,"Sinhala (official and national language) 87%, Tamil (official and national language) 28.5%, English 23.8%
        (2012 est.)","note: data represent main languages spoken by the population aged 10 years and older; shares sum to more than 100% because some respondents gave more than one answer on the census; English is commonly used in government and is referred to as the ""link language"" in the constitution","600,000 COLOMBO (capital), 103,000 Sri Jayewardenepura Kotte (legislative capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/CE-flag.gif
Sudan,Level 4: Do Not Travel,6 months beyond date of departure from Sudan,2 pages,Yes,"Yellow fever, cholera",None,"$10,000 ",su,Africa,hot and dry; arid desert; rainy season varies by region (April to November),43120843,"Arabic  (official), English  (official), Nubian, Ta Bedawie, Fur",,"5.534 million KHARTOUM (capital), 834,000 Nyala",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/SU-flag.gif
Suriname,Level 1: Exercise Normal Precautions,Six months,One page per stamp,Yes,Yellow fever (in some cases; see Health section),None,None,ns,South America,tropical; moderated by trade winds,597927,"Dutch  (official), English  (widely spoken), Sranang Tongo  (Surinamese, sometimes called Taki-Taki, is the native language of Creoles and much of the younger population and is lingua franca among others), Caribbean Hindustani  (a dialect of Hindi), Javanese",,"239,000 PARAMARIBO (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/NS-flag.gif
Sweden,Level 1: Exercise Normal Precautions,At least six months beyond the period of stay,Space for entry and exit stamps,Not required for stays under 90 days,None,"10,000 Euros (or equivalent)","10,000 Euros (or equivalent)",sw,Europe,"temperate in south with cold, cloudy winters and cool, partly cloudy summers; subarctic in north",10040995,Swedish (official),"note: Finnish, Sami, Romani, Yiddish, and Meankieli are official minority languages",1.583 million STOCKHOLM (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/SW-flag.gif
Switzerland,Level 1: Exercise Normal Precautions,At least six months beyond your planned date of departure from the Schengen area,1 page,Not required for stays of less than 90 days,No legal requirement,"No restrictions; officers may question over 10,000 Swiss Francs (CHF)","No restrictions; officers may question over 10,000 Swiss Francs (CHF)",sz,Europe,"temperate, but varies with altitude; cold, cloudy, rainy/snowy winters; cool to warm, cloudy, humid summers with occasional showers",8292809,"German (or Swiss German) (official) 62.8%, French (official) 22.9%, Italian (official) 8.2%, English 5.1%, Portuguese 3.7%, Albanian 3.1%, Serbo-Croatian 2.4%, Spanish 2.3%, Romansh (official) 0.5%, other 7.5%
        (2016 est.)","note: German, French, Italian, and Romansh are all national and official languages; shares sum to more than 100% because some respondents gave more than one answer","1.371 million Zurich, 422,000 BERN (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/SZ-flag.gif
Syria,Level 4: Do Not Travel,Must be valid at time of entry,One page required for entry stamp,Yes,None,None,None,sy,Middle East,"mostly desert; hot, dry, sunny summers (June to August) and mild, rainy winters (December to February) along coast; cold weather with snow or sleet periodically in Damascus",19454263,"Arabic  (official), Kurdish, Armenian, Aramaic, Circassian, French, English",,"2.32 million DAMASCUS (capital), 1.754 million Aleppo, 1.295 million Hims (Homs), 894,000 Hamah",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/SY-flag.gif
Taiwan,Level 1: Exercise Normal Precautions,Valid throughout duration of stay,1 page per entry/exit stamp,Not required for stay of less than 90 days,None required. Taiwan’s Centers for Disease Control and Prevention (CDC) recommends travelers to Taiwan be vaccinated against Hepatitis A. Vaccination information can be found here.,"Declare cash amounts over 100,000 New Taiwan Dollars (TWD), foreign currencies over 10,000 USD, or over 20,000 Chinese Yuan (RMB). Customs details are here.","Declare cash amounts over 100,000 New Taiwan Dollars (TWD), foreign currencies over 10,000 USD, or over 20,000 Chinese Yuan (RMB). Customs details are here.",tw,Southeast Asia,tropical; marine; rainy season during southwest monsoon (June to August); persistent and extensive cloudiness all year,23545963,"Mandarin Chinese  (official), Taiwanese  (Min Nan), Hakka dialects",,"4.325 million New Taipei City, 2.706 million TAIPEI (capital), 2.19 million Taiyuan, 1.532 million Kaohsiung, 1.283 million Taichung, 836,000 Tainan",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/TW-flag.gif
Tajikistan,Level 2: Exercise Increased Caution,Six months,One page per entry stamp,Yes,None,None,"$3,000 USD",ti,Asia,"mid-latitude continental, hot summers, mild winters; semiarid to polar in Pamir Mountains",8604882,"Tajik (official) 84.4%, Uzbek 11.9%, Kyrgyz .8%, Russian .5%, other 2.4%
        (2010 est.)",note: Russian widely used in government and business,"873,000 DUSHANBE (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/TI-flag.gif
Tanzania,Level 2: Exercise Increased Caution,6 months,1 page,Yes,Yellow fever required if traveling from a yellow fever endemic country,"Travelers are required to declare international currency valuing more than $10,000 on both entrance and exit from Tanzania. Non-residents (except Kenyans and Ugandans) may not import or export Tanzanian Shillings (TZS)",Non-residents (except Kenyans and Ugandans) may not import or export Tanzanian Shillings (TZS),tz,Africa,varies from tropical along coast to temperate in highlands,55451343,"Kiswahili or Swahili  (official), Kiunguja  (name for Swahili in Zanzibar), English  (official, primary language of commerce, administration, and higher education), Arabic  (widely spoken in Zanzibar), many local languages","note: Kiswahili (Swahili) is the mother tongue of the Bantu people living in Zanzibar and nearby coastal Tanzania; although Kiswahili is Bantu in structure and origin, its vocabulary draws on a variety of sources including Arabic and English; it has become the lingua franca of central and eastern Africa; the first language of most people is one of the local languages","6.048 million DAR ES SALAAM (administrative capital), 1.003 million Mwanza, 262,000 Dodoma (legislative capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/TZ-flag.gif
Thailand,Level 1: Exercise Normal Precautions,6 months from date of entry recommended,1 page per stamp,"No, if your stay is less than 30 days",Yellow fever may be required if arriving from certain countries with yellow fever,None,None,th,Southeast Asia,"tropical; rainy, warm, cloudy southwest monsoon (mid-May to September); dry, cool northeast monsoon (November to mid-March); southern isthmus always hot and humid",68615858,"Thai (official) only 90.7%, Thai and other languages 6.4%, only other languages (includes Malay, Burmese)
        (2010 est.)",note: data represent population by language(s) spoken at home; English is a secondary language of the elite,"10.156 million BANGKOK (capital), 1.272 million Samut Prakan, 1.135 million Chiang Mai, 940,000 Songkla, 937,000 Nothaburi, 889,000 Pathum Thani",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/TH-flag.gif
The Gambia,Level 1: Exercise Normal Precautions,Valid for duration of stay,1 page,Yes,Yellow fever,None,None,ga,Africa,"tropical; hot, rainy season (June to November); cooler, dry season (November to May)",2092731,"English  (official), Mandinka, Wolof, Fula, Fula  other indigenous vernaculars",,"437,000 BANJUL (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/GA-flag.gif
Timor-Leste,Level 1: Exercise Normal Precautions,Six months,One page required for entry stamp,Yes,None,None,None,tt,Southeast Asia,"tropical; hot, humid; distinct rainy and dry seasons",1321929,"Tetun Prasa 30.6%, Mambai 16.6%, Makasai 10.5%, Tetun Terik 6.1%, Baikenu 5.9%, Kemak 5.8%, Bunak 5.5%, Tokodede 4%, Fataluku 3.5%, Waima'a 1.8%, Galoli 1.4%, Naueti 1.4%, Idate 1.2%, Midiki 1.2%, other 4.5%",note: data represent population by mother tongue; Tetun and Portuguese are official languages; Indonesian and English are working languages; there are about 32 indigenous languages,"281,000 DILI (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/TT-flag.gif
Togo,Level 1: Exercise Normal Precautions,Must be valid at time of entry,1 page,Yes,Yellow Fever,"$10,000 ","$10,000 ",to,Africa,"tropical; hot, humid in south; semiarid in north",8176449,"French  (official, the language of commerce), Ewe and Mina  (the two major African languages in the south), Kabye (sometimes spelled Kabiye) and Dagomba  (the two major African languages in the north)",,1.746 million LOME (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/TO-flag.gif
Tonga,Level 1: Exercise Normal Precautions,Six months,One page required for entry stamp,Not required for stays up to 31 days,None,"Tongan Pa’anga (TOP) $10,000","Maximum remittance of TOP $10,000 via bank/financial institution. Approval required for higher amounts",tn,Oceania,"tropical; modified by trade winds; warm season (December to May), cool season (May to December)",106398,"Tongan and English 76.8%, Tongan, English, and other language 10.6%, Tongan only (official) 8.7%, English only (official) 0.7%, other 1.7%, none 2.2%
        (2016 est.)","note: data represent persons aged 5 and older who can read and write a simple sentence in Tongan, English, or another language","23,000 NUKU'ALOFA",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/TN-flag.gif
Trinidad and Tobago,Level 2: Exercise Increased Caution,,1 page per entry stamp.,,Routine vaccinations required.,,,td,Central America and the Caribbean,tropical; rainy season (June to December),1215527,"English  (official), Trinidadian Creole English, Tobagonian Creole English, Caribbean Hindustani  (a dialect of Hindi), Trinidadian Creole French, Spanish, Chinese",,"544,000 PORT-OF-SPAIN (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/TD-flag.gif
Tunisia,Level 2: Exercise Increased Caution,6 months validity after date of arrival,One page required for entry stamp,Not required for stays under 90 days,None,"Import of Tunisian currency is prohibited. Visitors must declare cash brought into Tunisia in excess of TND 10,000 (or foreign currency equivalent). They must declare amounts above TND 5,000 if they wish to export that amount upon departure.","Export of Tunisian currency is prohibited. Up to TND 3,000 may be re-exchanged into foreign currency upon departure from Tunisia with the original exchange receipt. Visitors may only export up to TND 5,000 (or foreign currency equivalent) if that amount w",ts,Africa,"temperate in north with mild, rainy winters and hot, dry summers; desert in south",11516189,"Arabic  (official, one of the languages of commerce), French  (commerce), Berber (Tamazight)","note: despite having no official status, French plays a major role in the country and is spoken by about two-thirds of the population",2.291 million TUNIS (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/TS-flag.gif
Turkey,Level 3: Reconsider Travel,Six months beyond date of entry,One page for entry and exit stamps,Yes,None,None,"25,000 Turkish lira or 10,000 euros (or equivalent)",tu,Middle East,"temperate; hot, dry summers with mild, wet winters; harsher in interior",81257239,"Turkish  (official), Kurdish, other minority languages",,"14.751 million Istanbul, 4.919 million ANKARA (capital), 2.937 million Izmir, 1.916 million Bursa, 1.73 million Adana, 1.632 million Gaziantep",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/TU-flag.gif
Turkmenistan,Level 1: Exercise Normal Precautions,"6 months. Because dual citizenship is not recognized, dual nationals are often denied departure from the country.",One page per entry stamp,Yes,None,None,"$3,000 ",tx,Asia,subtropical desert,5411012,"Turkmen (official) 72%, Russian 12%, Uzbek 9%, other 7%",,"810,000 ASHGABAT (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/TX-flag.gif
Turks and Caicos Islands,Level 2: Exercise Increased Caution,Duration of stay,None,Only for visits over 90 days,None,"$10,000 ","$10,000 ",tk,Central America and the Caribbean,tropical; marine; moderated by trade winds; sunny and relatively dry,53701,English  (official),,"5,000 GRAND TURK (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/TK-flag.gif
Tuvalu,Level 1: Exercise Normal Precautions,6 months,1 page per stamp,Available upon arrival,None,AUD $3000,AUD $3000,tv,Oceania,tropical; moderated by easterly trade winds (March to November); westerly gales and heavy rain (November to March),11147,"Tuvaluan (official), English (official), Samoan, Kiribati (on the island of Nui)",,"7,000 FUNAFUTI (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/TV-flag.gif
Uganda,Level 2: Exercise Increased Caution,6 months,One page for entry stamp,Yes,Yellow Fever; Polio (for children under 5),None,None,ug,Africa,"tropical; generally rainy with two dry seasons (December to February, June to August); semiarid in northeast",40853749,"English  (official national language, taught in grade schools, used in courts of law and by most newspapers and some radio broadcasts), Ganda or Luganda  (most widely used of the Niger-Congo languages, preferred for native language publications in the capital and may be taught in school), other Niger-Congo languages, Nilo-Saharan languages, Swahili, Arabic",,2.986 million KAMPALA (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/UG-flag.gif
Ukraine,Level 2: Exercise Increased Caution,Must be valid at time of entry and exit,One page required for entry stamp,Not required for tourism stays of less than 90 days within a 180-day period,None,"Anything over €10,000 or foreign currency equivalent must be declared in writing",Same as restrictions for entry,up,AsiaEurope,"temperate continental; Mediterranean only on the southern Crimean coast; precipitation disproportionately distributed, highest in west and north, lesser in east and southeast; winters vary from cool along the Black Sea to cold farther inland; warm summers",43952299,"Ukrainian (official) 67.5%, Russian (regional language) 29.6%, other (includes small Crimean Tatar-, Moldovan/Romanian-, and Hungarian-speaking minorities) 2.9% (2001 est.)","note: in February 2018, the Constitutional Court ruled that 2012 language legislation entitling a language spoken by at least 10% of an oblast's population to be given the status of ""regional language"" - allowing for its use in courts, schools, and other government institutions - was unconstitutional, thus making the law invalid; Ukrainian remains the country's only official nationwide language","2.957 million KYIV (capital), 1.436 million Kharkiv, 1.01 million Odesa, 969,000 Dnipropetrovsk, 919,000 Donetsk",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/UP-flag.gif
United Arab Emirates,Level 1: Exercise Normal Precautions,6 months validity after date of arrival,One page required for entry stamp,Not required for tourist stays under 30 days,None,None,None,ae,Middle East,desert; cooler in eastern mountains,9701315,"Arabic  (official), Persian, English, Hindi, Urdu",,"2.785 million Dubai, 1.571 million Sharjah, 1.42 million ABU DHABI (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/AE-flag.gif
United Kingdom,Level 2: Exercise Increased Caution,Must be valid for the duration of your stay in the United Kingdom (At least six months remaining validity is required for onward travel to many other countries),1 page,Not required for stays under 90 days,None,None,None,uk,Europe,temperate; moderated by prevailing southwest winds over the North Atlantic Current; more than one-half of the days are overcast,65105246,"English, Scottish Gaelic  (about 60,000 in Scotland), Welsh  (about 20% of the population of Wales), Irish  (about 10% of the population of Northern Ireland), Cornish  (some 2,000 to 3,000 people in Cornwall)
        (2012 est.)",note: the following are recognized regional languages: Scots  (about 30% of the population of Scotland),"9.046 million LONDON (capital), 2.69 million Manchester, 2.57 million Birmingham, 1.864 million West Yorkshire, 1.661 million Glasgow, 912,000 Southampton/Portsmouth",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/UK-flag.gif
Uruguay,Level 1: Exercise Normal Precautions,Must be valid at time of entry,One page required for entry stamp,"No, for stays less than 90 days. A visa is required when traveling on a diplomatic or official passport",None,"$10,000.00; any amount greater must be declared with Uruguay’s customs authorities","$10,000.00; any amount greater must be declared with Uruguay’s customs authorities",uy,South America,warm temperate; freezing temperatures almost unknown,3369299,Spanish (official),,1.737 million MONTEVIDEO (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/UY-flag.gif
