Site name,Country Name,Description,Coordinates,Region,Inscription date,Criteria
Historic City of Vigan,Philippines,"Established in the 16th century, Vigan is the best-preserved example of a planned Spanish colonial town in Asia. Its architecture reflects the coming together of cultural elements from elsewhere in the Philippines, from China and from Europe, resulting in a culture and townscape that have no parallel anywhere in East and South-East Asia.",N17 34 30 E120 23 15,Province of Ilocos Sur,1999,(ii)(iv)
Puerto-Princesa Subterranean River National Park,Philippines,"This park features a spectacular limestone karst landscape with an underground river. One of the river's distinguishing features is that it emerges directly into the sea, and its lower portion is subject to tidal influences. The area also represents a significant habitat for biodiversity conservation. The site contains a full 'mountain-to-sea' ecosystem and has some of the most important forests in Asia.",N10 10 0 E118 55 0,Palawan Province,1999,(vii)(x)
Mount Hamiguitan Range Wildlife Sanctuary,Philippines,"Forming a mountain ridge running north-south along the Pujada Peninsula in the south-eastern part of the Eastern Mindanao Biodiversity Corridor, the Mount Hamiguitan Range Wildlife Sanctuary has an elevation range of 75–1,637 m above sea level and provides critical habitat for a range of plant and animal species. The property showcases terrestrial and aquatic habitats at different elevations, and includes threatened and endemic flora and fauna species, eight of which are found only at Mount Hamiguitan. These include critically endangered trees, plants and the iconic Philippine eagle and Philippine cockatoo.",N6 43 1.81 E126 10 24.35,N/A,2014,(x)
Historic Centre of Kraków,Poland,"The Historic Centre of Kraków, the former capital of Poland, is situated at the foot of the Royal Wawel Castle. The 13th-century merchants' town has Europe's largest market square and numerous historical houses, palaces and churches with their magnificent interiors. Further evidence of the town's fascinating history is provided by the remnants of the 14th-century fortifications and the medieval site of Kazimierz with its ancient synagogues in the southern part of town, Jagellonian University and the Gothic cathedral where the kings of Poland were buried.",N50 3 41 E19 56 14,"City and County of Cracow, Lesser Poland (Malopolska) Voivodship",1978,(iv)
Wieliczka and Bochnia Royal Salt Mines,Poland,"The deposit of rock salt in Wieliczka and Bochnia has been mined since the 13th century. This major industrial undertaking has royal status and is the oldest of its type in Europe. The site is a serial property consisting of Wieliczka and Bochnia salt mines and Wieliczka Saltworks Castle. The Wieliczka and Bochnia Royal Salt Mines illustrate the historic stages of the development of mining techniques in Europe from the 13th to the 20th centuries: both mines have hundreds of kilometers of galleries with works of art, underground chapels and statues sculpted in the salt, making a fascinating pilgrimage into the past. The mines were administratively and technically run by Wieliczka Saltworks Castle, which dates from the medieval period and has been rebuilt several times in the course of its history.",N49 58 45 E20 3 50,N/A,1978,(iv)
Auschwitz Birkenau German Nazi Concentration and Extermination Camp (1940-1945),Poland,"The fortified walls, barbed wire, platforms, barracks, gallows, gas chambers and cremation ovens show the conditions within which the Nazi genocide took place in the former concentration and extermination camp of Auschwitz-Birkenau, the largest in the Third Reich. According to historical investigations, 1.5 million people, among them a great number of Jews, were systematically starved, tortured and murdered in this camp, the symbol of humanity's cruelty to its fellow human beings in the 20th century.",N50 2 20 E19 10 30,"Oswiecim County, Lesser Poland (Malopolska) Voivodship (formerly Bielsko-Biala)",1979,(vi)
Auschwitz Birkenau German Nazi Concentration and Extermination Camp (1940-1945),Poland,"The fortified walls, barbed wire, platforms, barracks, gallows, gas chambers and cremation ovens show the conditions within which the Nazi genocide took place in the former concentration and extermination camp of Auschwitz-Birkenau, the largest in the Third Reich. According to historical investigations, 1.5 million people, among them a great number of Jews, were systematically starved, tortured and murdered in this camp, the symbol of humanity's cruelty to its fellow human beings in the 20th century.",N50 2 20 E19 10 30,"Oswiecim County, Lesser Poland (Malopolska) Voivodship (formerly Bielsko-Biala)",1979,(vi)
Auschwitz Birkenau German Nazi Concentration and Extermination Camp (1940-1945),Poland,"The fortified walls, barbed wire, platforms, barracks, gallows, gas chambers and cremation ovens show the conditions within which the Nazi genocide took place in the former concentration and extermination camp of Auschwitz-Birkenau, the largest in the Third Reich. According to historical investigations, 1.5 million people, among them a great number of Jews, were systematically starved, tortured and murdered in this camp, the symbol of humanity's cruelty to its fellow human beings in the 20th century.",N50 2 20 E19 10 30,"Oswiecim County, Lesser Poland (Malopolska) Voivodship (formerly Bielsko-Biala)",1979,(vi)
Białowieża Forest,"Belarus, Poland","The Białowieża Forest World Heritage site, on the border between Poland and Belarus, is an immense range of primary forest including both conifers and broadleaved trees covering a total area of 141,885 hectares. Situated on the watershed of the Baltic Sea and Black Sea, this transboundary property is exceptional for the opportunities it offers for biodiversity conservation. It is home to the largest population of the property’s iconic species, the European bison.",N52 43 39 E23 58 52,N/A,1979,(ix)(x)
Historic Centre of Warsaw,Poland,"During the Warsaw Uprising in August 1944, more than 85% of Warsaw's historic centre was destroyed by Nazi troops. After the war, a five-year reconstruction campaign by its citizens resulted in today's meticulous restoration of the Old Town, with its churches, palaces and market-place. It is an outstanding example of a near-total reconstruction of a span of history covering the 13th to the 20th century.",N52 15 59.004 E21 0 42.012,"City and County of Warsaw, Masovian Voivodship",1980,(ii)(vi)
Old City of Zamość,Poland,"Zamosc was founded in the 16th century by the chancellor Jan Zamoysky on the trade route linking western and northern Europe with the Black Sea. Modelled on Italian theories of the 'ideal city' and built by the architect Bernando Morando, a native of Padua, Zamosc is a perfect example of a late-16th-century Renaissance town. It has retained its original layout and fortifications and a large number of buildings that combine Italian and central European architectural traditions.",N50 43 0.012 E23 16 0.012,"City and County of Zamość, Lublin Voivodship (formerly Zamość Voivodship)",1992,(iv)
Castle of the Teutonic Order in Malbork,Poland,"This 13th-century fortified monastery belonging to the Teutonic Order was substantially enlarged and embellished after 1309, when the seat of the Grand Master moved here from Venice. A particularly fine example of a medieval brick castle, it later fell into decay, but was meticulously restored in the 19th and early 20th centuries. Many of the conservation techniques now accepted as standard were evolved here. Following severe damage in the Second World War it was once again restored, using the detailed documentation prepared by earlier conservators.",N54 2 30 E19 1 60,"City and County of Malbork, Pomeranian Voivodship (formerly Elblag Voivodship)",1997,(ii)(iii)(iv)
Medieval Town of Toruń,Poland,"Torun owes its origins to the Teutonic Order, which built a castle there in the mid-13th century as a base for the conquest and evangelization of Prussia. It soon developed a commercial role as part of the Hanseatic League. In the Old and New Town, the many imposing public and private buildings from the 14th and 15th centuries (among them the house of Copernicus) are striking evidence of Torun's importance.",N53 0 36 E18 37 9.984,"City and County of Toruń, Kuyavian-Pomeranian Voivodship",1997,(ii)(iv)
Kalwaria Zebrzydowska: the Mannerist Architectural and Park Landscape Complex and Pilgrimage Park,Poland,Kalwaria Zebrzydowska is a breathtaking cultural landscape of great spiritual significance. Its natural setting – in which a series of symbolic places of worship relating to the Passion of Jesus Christ and the life of the Virgin Mary was laid out at the beginning of the 17th century – has remained virtually unchanged. It is still today a place of pilgrimage.,N49 52 0 E19 40 0,Lesser Poland (Malopolska).Voivodship (formerly Bielsko-Biala),1999,(ii)(iv)
Churches of Peace in Jawor and Świdnica,Poland,"The Churches of Peace in Jawor and Świdnica, the largest timber-framed religious buildings in Europe, were built in the former Silesia in the mid-17th century, amid the religious strife that followed the Peace of Westphalia. Constrained by the physical and political conditions, the Churches of Peace bear testimony to the quest for religious freedom and are a rare expression of Lutheran ideology in an idiom generally associated with the Catholic Church.",N51 3 15.4 E16 11 45.4,"Jawor and Świdnica counties, Lower Silesian (Dolnoslaskie) Voivodship",2001,(iii)(iv)(vi)
Wooden Churches of Southern Małopolska,Poland,"The wooden churches of southern Little Poland represent outstanding examples of the different aspects of medieval church-building traditions in Roman Catholic culture. Built using the horizontal log technique, common in eastern and northern Europe since the Middle Ages, these churches were sponsored by noble families and became status symbols. They offered an alternative to the stone structures erected in urban centres.",N49 45 0 E21 13 60,"Gorlice, Nowy Targ, and Bochnia counties, Voivodship of Lesser Poland (Malopolskie);
Brzozów County, Subcarpathian (Podkarpackie) Voivodship",2003,(iii)(iv)
Muskauer Park / Park Mużakowski,"Germany, Poland","A landscaped park of 559.9 ha astride the Neisse River and the border between Poland and Germany, it was created by Prince Hermann von Puckler-Muskau from 1815 to 1844. Blending seamlessly with the surrounding farmed landscape, the park pioneered new approaches to landscape design and influenced the development of landscape architecture in Europe and America. Designed as a ‘painting with plants’, it did not seek to evoke classical landscapes, paradise, or some lost perfection, instead using local plants to enhance the inherent qualities of the existing landscape. This integrated landscape extends into the town of Muskau with green passages that formed urban parks framing areas for development. The town thus became a design component in a utopian landscape. The site also features a reconstructed castle, bridges and an arboretum.",N51 34 45.5 E14 43 35.2,N/A,2004,(i)(iv)
Centennial Hall in Wrocław,Poland,"The Centennial Hall, a landmark in the history of reinforced concrete architecture, was erected in 1911-1913 by the architect Max Berg as a multi-purpose recreational building, situated in the Exhibition Grounds. In form it is a symmetrical quatrefoil with a vast circular central space that can seat some 6,000 persons. The 23m-high dome is topped with a lantern in steel and glass. The Centennial Hall is a pioneering work of modern engineering and architecture, which exhibits an important interchange of influences in the early 20th century, becoming a key reference in the later development of reinforced concrete structures.",N51 6 25.01 E17 4 37.25,"Silesia Region, Lower Silesian Voivodship",2006,(i)(ii)(iv)
Wooden Tserkvas of the Carpathian Region in Poland and Ukraine,"Poland, Ukraine","Situated in the eastern fringe of Central Europe, the transnational property numbers a selection of sixteen tserkvas (churches). They were built of horizontal wooden logs between the 16th and 19th centuries by communities of Orthodox and Greek Catholic faiths. The tserkvas bear testimony to a distinct building tradition rooted in Orthodox ecclesiastic design interwoven with elements of local tradition, and symbolic references to their communities’ cosmogony.  The tserkvas are built on a tri-partite plan surmounted by open quadrilateral or octagonal domes and cupolas. Integral to tserkvas are iconostasis screens, interior polychrome decorations, and other historic furnishings. Important elements of some tserkvas include wooden bell towers, churchyards, gatehouses and graveyards.",N49 32 2 E21 1 56,N/A,2013,(iii)(iv)
Wooden Tserkvas of the Carpathian Region in Poland and Ukraine,"Poland, Ukraine","Situated in the eastern fringe of Central Europe, the transnational property numbers a selection of sixteen tserkvas (churches). They were built of horizontal wooden logs between the 16th and 19th centuries by communities of Orthodox and Greek Catholic faiths. The tserkvas bear testimony to a distinct building tradition rooted in Orthodox ecclesiastic design interwoven with elements of local tradition, and symbolic references to their communities’ cosmogony.  The tserkvas are built on a tri-partite plan surmounted by open quadrilateral or octagonal domes and cupolas. Integral to tserkvas are iconostasis screens, interior polychrome decorations, and other historic furnishings. Important elements of some tserkvas include wooden bell towers, churchyards, gatehouses and graveyards.",N49 32 2 E21 1 56,N/A,2013,(iii)(iv)
Wooden Tserkvas of the Carpathian Region in Poland and Ukraine,"Poland, Ukraine","Situated in the eastern fringe of Central Europe, the transnational property numbers a selection of sixteen tserkvas (churches). They were built of horizontal wooden logs between the 16th and 19th centuries by communities of Orthodox and Greek Catholic faiths. The tserkvas bear testimony to a distinct building tradition rooted in Orthodox ecclesiastic design interwoven with elements of local tradition, and symbolic references to their communities’ cosmogony.  The tserkvas are built on a tri-partite plan surmounted by open quadrilateral or octagonal domes and cupolas. Integral to tserkvas are iconostasis screens, interior polychrome decorations, and other historic furnishings. Important elements of some tserkvas include wooden bell towers, churchyards, gatehouses and graveyards.",N49 32 2 E21 1 56,N/A,2013,(iii)(iv)
Tarnowskie Góry Lead-Silver-Zinc Mine and its Underground Water Management System,Poland,"Located in Upper Silesia, in southern Poland, one of the main mining areas of central Europe, the property includes the entire underground mine with adits, shafts, galleries and other features of the water management system. Most of the property is situated underground while the surface mining topography features relics of shafts and waste heaps, as well as the remains of the 19th century steam water pumping station. The elements of the water management system, located underground and on the surface, testify to continuous efforts over three centuries to drain the underground extraction zone and to use undesirable water from the mines to supply towns and industry. Tarnowskie Góry represents a significant contribution to the global production of lead and zinc.",N50 26 33.71 E18 51 4.42,N/A,2017,(i)(ii)(iv)
Central Zone of the Town of Angra do Heroismo in the Azores,Portugal,"Situated on one of the islands in the Azores archipelago, this was an obligatory port of call from the 15th century until the advent of the steamship in the 19th century. The 400-year-old San Sebastião and San João Baptista fortifications are unique examples of military architecture. Damaged by an earthquake in 1980, Angra is now being restored.",N38 39 18 W27 13 12,Région autonome des Açores,1983,(iv)(vi)
Convent of Christ in Tomar,Portugal,"Originally designed as a monument symbolizing the Reconquest, the Convent of the Knights Templar of Tomar (transferred in 1344 to the Knights of the Order of Christ) came to symbolize just the opposite during the Manueline period – the opening up of Portugal to other civilizations.",N39 36 16.992 W8 25 3,Tomar (Santarem),1983,(i)(vi)
Monastery of Batalha,Portugal,"The Monastery of the Dominicans of Batalha was built to commemorate the victory of the Portuguese over the Castilians at the battle of Aljubarrota in 1385. It was to be the Portuguese monarchy's main building project for the next two centuries. Here a highly original, national Gothic style evolved, profoundly influenced by Manueline art, as demonstrated by its masterpiece, the Royal Cloister.",N39 39 28.008 W8 49 36.984,Batalha (Leiria),1983,(i)(ii)
Monastery of the Hieronymites and Tower of Belém in Lisbon,Portugal,"Standing at the entrance to Lisbon harbour, the Monastery of the Hieronymites – construction of which began in 1502 – exemplifies Portuguese art at its best. The nearby Tower of Belém, built to commemorate Vasco da Gama's expedition, is a reminder of the great maritime discoveries that laid the foundations of the modern world.",N38 41 30.984 W9 12 56.988,City of Lisbon,1983,(iii)(vi)
Historic Centre of Évora,Portugal,"This museum-city, whose roots go back to Roman times, reached its golden age in the 15th century, when it became the residence of the Portuguese kings. Its unique quality stems from the whitewashed houses decorated with azulejos and wrought-iron balconies dating from the 16th to the 18th century. Its monuments had a profound influence on Portuguese architecture in Brazil.",N38 34 23.016 W7 54 28.008,N/A,1986,(ii)(iv)
Monastery of Alcobaça,Portugal,"The Monastery of Santa Maria d'Alcobaça, north of Lisbon, was founded in the 12th century by King Alfonso I. Its size, the purity of its architectural style, the beauty of the materials and the care with which it was built make this a masterpiece of Cistercian Gothic art.",N39 32 60 W8 58 36.012,Alcobaça - Leiria,1989,(i)(iv)
Cultural Landscape of Sintra,Portugal,"In the 19th century Sintra became the first centre of European Romantic architecture. Ferdinand II turned a ruined monastery into a castle where this new sensitivity was displayed in the use of Gothic, Egyptian, Moorish and Renaissance elements and in the creation of a park blending local and exotic species of trees. Other fine dwellings, built along the same lines in the surrounding serra , created a unique combination of parks and gardens which influenced the development of landscape architecture throughout Europe.",N38 46 59.988 W9 25 0.012,Sintra/Serra,1995,(ii)(iv)(v)
"Historic Centre of Oporto, Luiz I Bridge and Monastery of Serra do Pilar ",Portugal,"The city of Oporto, built along the hillsides overlooking the mouth of the Douro river, is an outstanding urban landscape with a 2,000-year history. Its continuous growth, linked to the sea (the Romans gave it the name Portus, or port), can be seen in the many and varied monuments, from the cathedral with its Romanesque choir, to the neoclassical Stock Exchange and the typically Portuguese Manueline-style Church of Santa Clara.",N41 8 30 W8 37 0,Northern region,1996,(iv)
Prehistoric Rock Art Sites in the Côa Valley and Siega Verde,"Portugal, Spain","The two Prehistoric Rock Art Sites in the Côa Valley (Portugal) and Siega Verde (Spain) are located on the banks of the rivers Agueda and Côa, tributaries of the river Douro, documenting continuous human occupation from the end of the Paleolithic Age. Hundreds of panels with thousands of animal figures (5,000 in Foz Côa and around 440 in Siega Verde) were carved over several millennia, representing the most remarkable open-air ensemble of Paleolithic art on the Iberian Peninsula.",N40 41 51 W6 39 40,N/A,1998,(i)(iii)
Laurisilva of Madeira,Portugal,"The Laurisilva of Madeira is an outstanding relict of a previously widespread laurel forest type. It is the largest surviving area of laurel forest and is believed to be 90% primary forest. It contains a unique suite of plants and animals, including many endemic species such as the Madeiran long-toed pigeon.",N32 46 0 W17 0 0,Island of Madeira,1999,(ix)(x)
Alto Douro Wine Region,Portugal,"Wine has been produced by traditional landholders in the Alto Douro region for some 2,000 years. Since the 18th century, its main product, port wine, has been world famous for its quality. This long tradition of viticulture has produced a cultural landscape of outstanding beauty that reflects its technological, social and economic evolution.",N41 6 6 W7 47 56,"Douro Region, Trás-os-Montes e

Alto Douro",2001,(iii)(iv)(v)
Historic Centre of Guimarães,Portugal,"The historic town of Guimarães is associated with the emergence of the Portuguese national identity in the 12th century. An exceptionally well-preserved and authentic example of the evolution of a medieval settlement into a modern town, its rich building typology exemplifies the specific development of Portuguese architecture from the 15th to 19th century through the consistent use of traditional building materials and techniques.",N41 26 37.432 W8 17 34.091,"Province of Minho, District of Braga",2001,(ii)(iii)(iv)
Landscape of the Pico Island Vineyard Culture,Portugal,"The 987-ha site on the volcanic island of Pico, the second largest in the Azores archipelago, consists of a remarkable pattern of spaced-out, long linear walls running inland from, and parallel to, the rocky shore. The walls were built to protect the thousands of small, contiguous, rectangular plots (currais) from wind and seawater. Evidence of this viniculture, whose origins date back to the 15th century, is manifest in the extraordinary assembly of the fields, in houses and early 19th-century manor houses, in wine-cellars, churches and ports. The extraordinarily beautiful man-made landscape of the site is the best remaining area of a once much more widespread practice.",N38 30 48.4 W28 32 28.2,Azores,2004,(iii)(v)
Garrison Border Town of Elvas and its Fortifications,Portugal,"The site, extensively fortified from the 17th to 19th centuries, represents the largest bulwarked dry-ditch system in the world. Within its walls, the town contains barracks and other military buildings as well as churches and monasteries. While Elvas contains remains dating back to the 10th century ad, its fortification began when Portugal regained independence in 1640. The fortifications designed by Dutch Jesuit padre Cosmander represent the best surviving example of the Dutch school of fortifications anywhere. The site also contains the Amoreira aqueduct, built to enable the stronghold to withstand lengthy sieges.",N38 52 50.23 W7 9 47.96,N/A,2012,(iv)
University of Coimbra – Alta and Sofia,Portugal,"Situated on a hill overlooking the city, the University of Coimbra with its colleges grew and evolved over more than seven centuries within the old town. Notable university buildings include the 12th century Cathedral of Santa Cruz and a number of 16th century colleges,  the Royal Palace of Alcáçova, which has housed the University since 1537, the Joanine Library with its rich baroque decor, the 18th century Botanical Garden and University Press, as well as the large “University City” created during the 1940s. The University’s edifices became a reference in the development of other institutions of higher education in the Portuguese-speaking world where it also exerted a major influence on learning and literature. Coimbra offers an outstanding example of an integrated university city with a specific urban typology as well as its own ceremonial and cultural traditions that have been kept alive through the ages.",N40 12 28.12 W8 25 32.79,N/A,2013,(ii)(iv)(vi)
Al Zubarah Archaeological Site,Qatar,"The walled coastal town of Al Zubarah in the Persian Gulf flourished as a pearling and trading centre in the late 18th century and early 19th centuries, before it was destroyed in 1811 and abandoned in the early 1900s. Founded by merchants from Kuwait, Al Zubarah had trading links across the Indian Ocean, Arabia and Western Asia. A layer of sand blown from the desert has protected the remains of the site’s palaces, mosques, streets, courtyard houses, and fishermen’s huts; its harbour and double defensive walls, a canal, walls, and cemeteries. Excavation has only taken place over a small part of the site, which offers an outstanding testimony to an urban trading and pearl-diving tradition which sustained the region’s major coastal towns and led to the development of small independent states that flourished outside the control of the Ottoman, European, and Persian empires and eventually led to the emergence of modern day Gulf States.",N25 58 41 E51 1 47,N/A,2013,(iii)(iv)(v)
"Haeinsa Temple Janggyeong Panjeon, the Depositories for the Tripitaka Koreana Woodblocks",Republic of Korea,"The Temple of Haeinsa, on Mount Gaya, is home to the Tripitaka Koreana , the most complete collection of Buddhist texts, engraved on 80,000 woodblocks between 1237 and 1248. The buildings of Janggyeong Panjeon, which date from the 15th century, were constructed to house the woodblocks, which are also revered as exceptional works of art. As the oldest depository of the Tripitaka , they reveal an astonishing mastery of the invention and implementation of the conservation techniques used to preserve these woodblocks.",N35 47 60 E128 5 60,N/A,1995,(iv)(vi)
"Haeinsa Temple Janggyeong Panjeon, the Depositories for the Tripitaka Koreana Woodblocks",Republic of Korea,"The Temple of Haeinsa, on Mount Gaya, is home to the Tripitaka Koreana , the most complete collection of Buddhist texts, engraved on 80,000 woodblocks between 1237 and 1248. The buildings of Janggyeong Panjeon, which date from the 15th century, were constructed to house the woodblocks, which are also revered as exceptional works of art. As the oldest depository of the Tripitaka , they reveal an astonishing mastery of the invention and implementation of the conservation techniques used to preserve these woodblocks.",N35 47 60 E128 5 60,N/A,1995,(iv)(vi)
"Haeinsa Temple Janggyeong Panjeon, the Depositories for the Tripitaka Koreana Woodblocks",Republic of Korea,"The Temple of Haeinsa, on Mount Gaya, is home to the Tripitaka Koreana , the most complete collection of Buddhist texts, engraved on 80,000 woodblocks between 1237 and 1248. The buildings of Janggyeong Panjeon, which date from the 15th century, were constructed to house the woodblocks, which are also revered as exceptional works of art. As the oldest depository of the Tripitaka , they reveal an astonishing mastery of the invention and implementation of the conservation techniques used to preserve these woodblocks.",N35 47 60 E128 5 60,N/A,1995,(iv)(vi)
Jongmyo Shrine,Republic of Korea,"Jongmyo is the oldest and most authentic of the Confucian royal shrines to have been preserved. Dedicated to the forefathers of the Joseon dynasty (1392–1910), the shrine has existed in its present form since the 16th century and houses tablets bearing the teachings of members of the former royal family. Ritual ceremonies linking music, song and dance still take place there, perpetuating a tradition that goes back to the 14th century.",N37 32 60 E126 58 59.988,Seoul,1995,(iv)
Seokguram Grotto and Bulguksa Temple,Republic of Korea,"Established in the 8th century on the slopes of Mount Toham, the Seokguram Grotto contains a monumental statue of the Buddha looking at the sea in the bhumisparsha mudra position. With the surrounding portrayals of gods, Bodhisattvas and disciples, all realistically and delicately sculpted in high and low relief, it is considered a masterpiece of Buddhist art in the Far East. The Temple of Bulguksa (built in 774) and the Seokguram Grotto form a religious architectural complex of exceptional significance.",N35 46 60 E129 20 60,N/A,1995,(i)(iv)
Changdeokgung Palace Complex,Republic of Korea,"In the early 15th century, the King Taejong ordered the construction of a new palace at an auspicious site. A Bureau of Palace Construction was set up to create the complex, consisting of a number of official and residential buildings set in a garden that was cleverly adapted to the uneven topography of the 58-ha site. The result is an exceptional example of Far Eastern palace architecture and design, blending harmoniously with the surrounding landscape.",N37 32 60 E126 58 60,Seoul,1997,(ii)(iii)(iv)
Hwaseong Fortress,Republic of Korea,"When the Joseon King Jeongjo moved his father's tomb to Suwon at the end of the 18th century, he surrounded it with strong defensive works, laid out according to the precepts of an influential military architect of the period, who brought together the latest developments in the field from both East and West. The massive walls, extending for nearly 6 km, still survive; they are pierced by four gates and equipped with bastions, artillery towers and other features.",N37 16 19.992 E127 0 29.988,Gyeonggi-do Province,1997,(ii)(iii)
"Gochang, Hwasun and Ganghwa Dolmen Sites",Republic of Korea,"The prehistoric cemeteries at Gochang, Hwasun, and Ganghwa contain many hundreds of examples of dolmens - tombs from the 1st millennium BC constructed of large stone slabs. They form part of the Megalithic culture, found in many parts of the world, but nowhere in such a concentrated form.",N34 58 0.012 E126 55 45.012,"Gochang-gun County, Jeollabuk-do Province; Hwasun-gun County, Jeollanam-do Province; Ganghwa-gun County, Incheon  Metropolitan City",2000,(iii)
Gyeongju Historic Areas,Republic of Korea,"The Gyeongju Historic Areas contain a remarkable concentration of outstanding examples of Korean Buddhist art, in the form of sculptures, reliefs, pagodas, and the remains of temples and palaces from the flowering, in particular between the 7th and 10th centuries, of this form of unique artistic expression.",N35 47 20.004 E129 13 36.012,"Gyeongju City, Gyeongsangbuk-do Province",2000,(ii)(iii)
Jeju Volcanic Island and Lava Tubes,Republic of Korea,"Jeju Volcanic Island and Lava Tubes together comprise three sites that make up 18,846 ha. It includes Geomunoreum, regarded as the finest lava tube system of caves anywhere, with its multicoloured carbonate roofs and floors, and dark-coloured lava walls; the fortress-like Seongsan Ilchulbong tuff cone, rising out of the ocean, a dramatic landscape; and Mount Halla, the highest in Korea, with its waterfalls, multi-shaped rock formations, and lake-filled crater. The site, of outstanding aesthetic beauty, also bears testimony to the history of the planet, its features and processes.",N33 28 8 E126 43 13,N/A,2007,(vii)(viii)
Royal Tombs of the Joseon Dynasty,Republic of Korea,"The Royal Tombs of the Joseon Dynasty form a collection of 40 tombs scattered over 18 locations. Built over five centuries, from 1408 to 1966, the tombs honoured the memory of ancestors, showed respect for their achievements, asserted royal authority, protected ancestral spirits from evil and provided protection from vandalism. Spots of outstanding natural beauty were chosen for the tombs which typically have their back protected by a hill as they face south toward water and, ideally, layers of mountain ridges in the distance. Alongside the burial area, the royal tombs feature a ceremonial area and an entrance. In addition to the burial mounds, associated buildings that are an integral part of the tombs include a T-shaped wooden shrine, a shed for stele, a royal kitchen and a guards’ house, a red-spiked gate and the tomb keeper’s house. The grounds are adorned on the outside with a range of stone objects including figures of people and animals. The Joseon Tombs completes the 5,000 year history of royal tombs architecture in the Korean peninsula.",N37 11 50 E128 27 10,N/A,2009,(iii)(iv)(vi)
Historic Villages of Korea: Hahoe and Yangdong,Republic of Korea,"Founded in the 14th-15th centuries, Hahoe and Yangdong are seen as the two most representative historic clan villages in the Republic of Korea. Their layout and location - sheltered by forested mountains and facing out onto a river and open agricultural fields – reflect the distinctive aristocratic Confucian culture of the early part of the Joseon Dynasty (1392-1910). The villages were located to provide both physical and spiritual nourishment from their surrounding landscapes. They include residences of the head families, together with substantial timber framed houses of other clan members, also pavilions, study halls, Confucian academies for learning, and clusters of one story mud-walled, thatched-roofed houses, formerly for commoners. The landscapes of mountains, trees and water around the village, framed in views from pavilions and retreats, were celebrated for their beauty by 17th and 18th century poets.",N36 32 21 E128 31 0,N/A,2010,(iii)(iv)
Namhansanseong,Republic of Korea,"Namhansanseong was designed as an emergency capital for the Joseon dynasty (1392–1910), in a mountainous site 25 km south-east of Seoul. Built and defended by Buddhist monk-soldiers, it could accommodate 4,000 people and fulfilled important administrative and military functions. Its earliest remains date from the 7th century, but it was rebuilt several times, notably in the early 17th century in anticipation of an attack from the Sino-Manchu Qing dynasty. The city embodies a synthesis of the defensive military engineering concepts of the period, based on Chinese and Japanese influences, and changes in the art of fortification following the introduction from the West of weapons using gunpowder. A city that has always been inhabited, and which was the provincial capital over a long period, it contains evidence of a variety of military, civil and religious buildings and has become a symbol of Korean sovereignty.",N37 28 44 E127 10 52,N/A,2014,(ii)(iv)
Baekje Historic Areas,Republic of Korea,"Located in the mountainous mid-western region of the Republic of Korea, this property comprises eight archaeological sites dating from 475 to 660 CE, including the Gongsanseong fortress and royal tombs at Songsan-ri related to the capital, Ungjin (present day Gongju), the Busosanseong Fortress and Gwanbuk-ri administrative buildings, the Jeongnimsa Temple, the royal tombs in Neungsan-ri and the Naseong city wall related to the capital, Sabi (now Buyeo), the royal palace at Wanggung-ri and the Mireuksa Temple in Iksan related to the secondary Sabi capital. Together, these sites represent the later period of the Baekje Kingdom – one of the three earliest kingdoms on the Korean peninsula (18 BCE to 660 CE) - during which time they were at the crossroads of considerable technological, religious (Buddhist), cultural and artistic exchanges between the ancient East Asian kingdoms in Korea, China and Japan.",N36 27 43 E127 7 38,N/A,2015,(ii)(iii)
"Sansa, Buddhist Mountain Monasteries in Korea",Republic of Korea,"The Sansa are Buddhist mountain monasteries located throughout the southern provinces of the Korean Peninsula. The spatial arrangement of the seven temples that comprise the property, established from the 7th to 9th centuries, present common characteristics that are specific to Korea – the ‘madang’ (open courtyard) flanked by four buildings (Buddha Hall, pavilion, lecture hall and dormitory). They contain a large number of individually remarkable structures, objects, documents and shrines. These mountain monasteries are sacred places, which have survived as living centres of faith and daily religious practice to the present.",N36 32 31 E127 49 60,N/A,2018,(iii)
Struve Geodetic Arc,"Belarus, Estonia, Finland, Latvia, Lithuania, Norway, Republic of Moldova, Russian Federation, Sweden, Ukraine","The Struve Arc is a chain of survey triangulations stretching from Hammerfest in Norway to the Black Sea, through 10 countries and over 2,820 km. These are points of a survey, carried out between 1816 and 1855 by the astronomer Friedrich Georg Wilhelm Struve, which represented the first accurate measuring of a long segment of a meridian. This helped to establish the exact size and shape of the planet and marked an important step in the development of earth sciences and topographic mapping. It is an extraordinary example of scientific collaboration among scientists from different countries, and of collaboration between monarchs for a scientific cause. The original arc consisted of 258 main triangles with 265 main station points. The listed site includes 34 of the original station points, with different markings, i.e. a drilled hole in rock, iron cross, cairns, or built obelisks.",N59 3 28 E26 20 16,N/A,2005,(ii)(iv)(vi)
Danube Delta,Romania,"The waters of the Danube, which flow into the Black Sea, form the largest and best preserved of Europe's deltas. The Danube delta hosts over 300 species of birds as well as 45 freshwater fish species in its numerous lakes and marshes.",N45 4 59.988 E29 30 0,"Tulcea County, Dobruja Region",1991,(vii)(x)
